season,team_a,team_b,rating_a,rating_b,rating_diff,duncan_fav,vegas_fav,vegas_g1_spread,actual_winner,actual_loser,series_score,n_games,duncan_correct,vegas_correct,first_game_date
2024,Dallas Mavericks,Oklahoma City Thunder,4.933446043114147,7.11549882269629,2.1820527795821434,Oklahoma City Thunder,Oklahoma City Thunder,4.0,Dallas Mavericks,Oklahoma City Thunder,4-2,6,False,False,2024-05-07
2024,Boston Celtics,Indiana Pacers,9.803645610284812,5.174135320110188,4.629510290174625,Boston Celtics,Boston Celtics,9.5,Boston Celtics,Indiana Pacers,4-0,4,True,True,2024-05-21
2024,Dallas Mavericks,Minnesota Timberwolves,5.660054074873515,7.00377325546593,1.343719180592415,Minnesota Timberwolves,Minnesota Timberwolves,5.0,Dallas Mavericks,Minnesota Timberwolves,4-1,5,False,False,2024-05-22
2024,Boston Celtics,Dallas Mavericks,10.105780082816214,7.0565435356150825,3.049236547201131,Boston Celtics,Boston Celtics,6.5,Boston Celtics,Dallas Mavericks,4-1,5,True,True,2024-06-06
2025,Denver Nuggets,Los Angeles Clippers,3.494557271564705,6.713134437689335,3.21857716612463,Los Angeles Clippers,Denver Nuggets,3.0,Denver Nuggets,Los Angeles Clippers,4-3,7,False,True,2025-04-19
2025,Detroit Pistons,New York Knicks,3.4122821707218045,2.362514824741248,1.0497673459805563,Detroit Pistons,New York Knicks,7.0,New York Knicks,Detroit Pistons,4-2,6,False,True,2025-04-19
2025,Indiana Pacers,Milwaukee Bucks,3.3938967849005977,3.391308575324698,0.0025882095758995582,Indiana Pacers,Indiana Pacers,6.0,Indiana Pacers,Milwaukee Bucks,4-1,5,True,True,2025-04-19
2025,Los Angeles Lakers,Minnesota Timberwolves,3.547280884704532,6.258753693389425,2.7114728086848934,Minnesota Timberwolves,Los Angeles Lakers,4.5,Minnesota Timberwolves,Los Angeles Lakers,4-1,5,True,False,2025-04-19
2025,Boston Celtics,Orlando Magic,6.454421908657239,0.8684019607444116,5.586019947912828,Boston Celtics,Boston Celtics,12.0,Boston Celtics,Orlando Magic,4-1,5,True,True,2025-04-20
2025,Cleveland Cavaliers,Miami Heat,7.210174056657053,0.7962270270344497,6.413947029622603,Cleveland Cavaliers,Cleveland Cavaliers,12.5,Cleveland Cavaliers,Miami Heat,4-0,4,True,True,2025-04-20
2025,Golden State Warriors,Houston Rockets,4.5968619508593145,2.938533104162776,1.6583288466965387,Golden State Warriors,Houston Rockets,2.0,Golden State Warriors,Houston Rockets,4-3,7,True,False,2025-04-20
2025,Memphis Grizzlies,Oklahoma City Thunder,1.6327323768385478,11.787436707978124,10.154704331139577,Oklahoma City Thunder,Oklahoma City Thunder,13.0,Oklahoma City Thunder,Memphis Grizzlies,4-0,4,True,True,2025-04-20
2025,Cleveland Cavaliers,Indiana Pacers,8.465491765245211,4.128498320492782,4.336993444752429,Cleveland Cavaliers,Cleveland Cavaliers,8.5,Indiana Pacers,Cleveland Cavaliers,4-1,5,False,False,2025-05-04
2025,Boston Celtics,New York Knicks,7.311665946308336,2.597787557765423,4.713878388542913,Boston Celtics,Boston Celtics,9.0,New York Knicks,Boston Celtics,4-2,6,False,False,2025-05-05
2025,Denver Nuggets,Oklahoma City Thunder,4.113515828089477,12.185402302778725,8.071886474689247,Oklahoma City Thunder,Oklahoma City Thunder,10.5,Oklahoma City Thunder,Denver Nuggets,4-3,7,True,True,2025-05-05
2025,Golden State Warriors,Minnesota Timberwolves,4.778075142168795,7.231812978627545,2.4537378364587497,Minnesota Timberwolves,Minnesota Timberwolves,6.0,Minnesota Timberwolves,Golden State Warriors,4-1,5,True,True,2025-05-06
2025,Minnesota Timberwolves,Oklahoma City Thunder,8.123713208882519,11.766854151326774,3.643140942444255,Oklahoma City Thunder,Oklahoma City Thunder,7.0,Oklahoma City Thunder,Minnesota Timberwolves,4-1,5,True,True,2025-05-20
2025,Indiana Pacers,New York Knicks,5.308082062672185,3.189601506706352,2.1184805559658333,Indiana Pacers,New York Knicks,4.5,Indiana Pacers,New York Knicks,4-2,6,True,False,2025-05-21
2025,Indiana Pacers,Oklahoma City Thunder,5.436402196598332,12.50094883601298,7.064546639414649,Oklahoma City Thunder,Oklahoma City Thunder,10.0,Oklahoma City Thunder,Indiana Pacers,4-3,7,True,True,2025-06-05
