season,team,conference,division
1983,Detroit Pistons,East,Central
1983,Chicago Bulls,East,Central
1983,Cleveland Cavaliers,East,Central
1983,Indiana Pacers,East,Central
1983,San Antonio Spurs,West,Midwest
1983,Denver Nuggets,West,Midwest
1983,Kansas City Kings,West,Midwest
1983,Dallas Mavericks,West,Midwest
1983,Utah Jazz,West,Midwest
1983,Houston Rockets,West,Midwest
1983,Los Angeles Lakers,West,Pacific
1983,Phoenix Suns,West,Pacific
1983,Seattle SuperSonics,West,Pacific
1983,Portland Trail Blazers,West,Pacific
1983,Golden State Warriors,West,Pacific
1983,San Diego Clippers,West,Pacific
1984,Boston Celtics,East,Atlantic
1984,Philadelphia 76ers,East,Atlantic
1984,New York Knicks,East,Atlantic
1984,New Jersey Nets,East,Atlantic
1984,Washington Wizards,East,Atlantic
1984,Milwaukee Bucks,East,Central
1984,Detroit Pistons,East,Central
1984,Atlanta Hawks,East,Central
1984,Cleveland Cavaliers,East,Central
1984,Chicago Bulls,East,Central
1984,Indiana Pacers,East,Central
1984,Utah Jazz,West,Midwest
1984,Dallas Mavericks,West,Midwest
1984,Denver Nuggets,West,Midwest
1984,Kansas City Kings,West,Midwest
1984,San Antonio Spurs,West,Midwest
1984,Houston Rockets,West,Midwest
1984,Los Angeles Lakers,West,Pacific
1984,Portland Trail Blazers,West,Pacific
1984,Seattle SuperSonics,West,Pacific
1984,Phoenix Suns,West,Pacific
1984,Golden State Warriors,West,Pacific
1984,San Diego Clippers,West,Pacific
1985,Boston Celtics,East,Atlantic
1985,Philadelphia 76ers,East,Atlantic
1985,New Jersey Nets,East,Atlantic
1985,Washington Wizards,East,Atlantic
1985,New York Knicks,East,Atlantic
1985,Milwaukee Bucks,East,Central
1985,Detroit Pistons,East,Central
1985,Chicago Bulls,East,Central
1985,Cleveland Cavaliers,East,Central
1985,Atlanta Hawks,East,Central
1985,Indiana Pacers,East,Central
1985,Denver Nuggets,West,Midwest
1985,Houston Rockets,West,Midwest
1985,Dallas Mavericks,West,Midwest
1985,Utah Jazz,West,Midwest
1985,San Antonio Spurs,West,Midwest
1985,Kansas City Kings,West,Midwest
1985,Los Angeles Lakers,West,Pacific
1985,Portland Trail Blazers,West,Pacific
1985,Phoenix Suns,West,Pacific
1985,Seattle SuperSonics,West,Pacific
1985,Los Angeles Clippers,West,Pacific
1985,Golden State Warriors,West,Pacific
1986,Boston Celtics,East,Atlantic
1986,Philadelphia 76ers,East,Atlantic
1986,Washington Wizards,East,Atlantic
1986,New Jersey Nets,East,Atlantic
1986,New York Knicks,East,Atlantic
1986,Milwaukee Bucks,East,Central
1986,Atlanta Hawks,East,Central
1986,Detroit Pistons,East,Central
1986,Chicago Bulls,East,Central
1986,Cleveland Cavaliers,East,Central
1986,Indiana Pacers,East,Central
1986,Houston Rockets,West,Midwest
1986,Denver Nuggets,West,Midwest
1986,Dallas Mavericks,West,Midwest
1986,Utah Jazz,West,Midwest
1986,Sacramento Kings,West,Midwest
1986,San Antonio Spurs,West,Midwest
1986,Los Angeles Lakers,West,Pacific
1986,Portland Trail Blazers,West,Pacific
1986,Phoenix Suns,West,Pacific
1986,Los Angeles Clippers,West,Pacific
1986,Seattle SuperSonics,West,Pacific
1986,Golden State Warriors,West,Pacific
1987,Boston Celtics,East,Atlantic
1987,Philadelphia 76ers,East,Atlantic
1987,Washington Wizards,East,Atlantic
1987,New Jersey Nets,East,Atlantic
1987,New York Knicks,East,Atlantic
1987,Atlanta Hawks,East,Central
1987,Detroit Pistons,East,Central
1987,Milwaukee Bucks,East,Central
1987,Indiana Pacers,East,Central
1987,Chicago Bulls,East,Central
1987,Cleveland Cavaliers,East,Central
1987,Dallas Mavericks,West,Midwest
1987,Utah Jazz,West,Midwest
1987,Houston Rockets,West,Midwest
1987,Denver Nuggets,West,Midwest
1987,Sacramento Kings,West,Midwest
1987,San Antonio Spurs,West,Midwest
1987,Los Angeles Lakers,West,Pacific
1987,Portland Trail Blazers,West,Pacific
1987,Golden State Warriors,West,Pacific
1987,Seattle SuperSonics,West,Pacific
1987,Phoenix Suns,West,Pacific
1987,Los Angeles Clippers,West,Pacific
1988,Boston Celtics,East,Atlantic
1988,Washington Wizards,East,Atlantic
1988,New York Knicks,East,Atlantic
1988,Philadelphia 76ers,East,Atlantic
1988,New Jersey Nets,East,Atlantic
1988,Detroit Pistons,East,Central
1988,Chicago Bulls,East,Central
1988,Atlanta Hawks,East,Central
1988,Milwaukee Bucks,East,Central
1988,Cleveland Cavaliers,East,Central
1988,Indiana Pacers,East,Central
1988,Denver Nuggets,West,Midwest
1988,Dallas Mavericks,West,Midwest
1988,Utah Jazz,West,Midwest
1988,Houston Rockets,West,Midwest
1988,San Antonio Spurs,West,Midwest
1988,Sacramento Kings,West,Midwest
1988,Los Angeles Lakers,West,Pacific
1988,Portland Trail Blazers,West,Pacific
1988,Seattle SuperSonics,West,Pacific
1988,Phoenix Suns,West,Pacific
1988,Golden State Warriors,West,Pacific
1988,Los Angeles Clippers,West,Pacific
1989,New York Knicks,East,Atlantic
1989,Philadelphia 76ers,East,Atlantic
1989,Boston Celtics,East,Atlantic
1989,Washington Wizards,East,Atlantic
1989,New Jersey Nets,East,Atlantic
1989,Charlotte Hornets,East,Atlantic
1989,Detroit Pistons,East,Central
1989,Cleveland Cavaliers,East,Central
1989,Atlanta Hawks,East,Central
1989,Milwaukee Bucks,East,Central
1989,Chicago Bulls,East,Central
1989,Indiana Pacers,East,Central
1989,Utah Jazz,West,Midwest
1989,Houston Rockets,West,Midwest
1989,Denver Nuggets,West,Midwest
1989,Dallas Mavericks,West,Midwest
1989,San Antonio Spurs,West,Midwest
1989,Miami Heat,West,Midwest
1989,Los Angeles Lakers,West,Pacific
1989,Phoenix Suns,West,Pacific
1989,Seattle SuperSonics,West,Pacific
1989,Golden State Warriors,West,Pacific
1989,Portland Trail Blazers,West,Pacific
1989,Sacramento Kings,West,Pacific
1989,Los Angeles Clippers,West,Pacific
1990,Philadelphia 76ers,East,Atlantic
1990,Boston Celtics,East,Atlantic
1990,New York Knicks,East,Atlantic
1990,Washington Wizards,East,Atlantic
1990,Miami Heat,East,Atlantic
1990,New Jersey Nets,East,Atlantic
1990,Detroit Pistons,East,Central
1990,Chicago Bulls,East,Central
1990,Milwaukee Bucks,East,Central
1990,Cleveland Cavaliers,East,Central
1990,Indiana Pacers,East,Central
1990,Atlanta Hawks,East,Central
1990,Orlando Magic,East,Central
1990,San Antonio Spurs,West,Midwest
1990,Utah Jazz,West,Midwest
1990,Dallas Mavericks,West,Midwest
1990,Denver Nuggets,West,Midwest
1990,Houston Rockets,West,Midwest
1990,Minnesota Timberwolves,West,Midwest
1990,Charlotte Hornets,West,Midwest
1990,Los Angeles Lakers,West,Pacific
1990,Portland Trail Blazers,West,Pacific
1990,Phoenix Suns,West,Pacific
1990,Seattle SuperSonics,West,Pacific
1990,Golden State Warriors,West,Pacific
1990,Los Angeles Clippers,West,Pacific
1990,Sacramento Kings,West,Pacific
1991,Boston Celtics,East,Atlantic
1991,Philadelphia 76ers,East,Atlantic
1991,New York Knicks,East,Atlantic
1991,Washington Wizards,East,Atlantic
1991,New Jersey Nets,East,Atlantic
1991,Miami Heat,East,Atlantic
1991,Chicago Bulls,East,Central
1991,Detroit Pistons,East,Central
1991,Milwaukee Bucks,East,Central
1991,Atlanta Hawks,East,Central
1991,Indiana Pacers,East,Central
1991,Cleveland Cavaliers,East,Central
1991,Charlotte Hornets,East,Central
1991,San Antonio Spurs,West,Midwest
1991,Utah Jazz,West,Midwest
1991,Houston Rockets,West,Midwest
1991,Orlando Magic,West,Midwest
1991,Minnesota Timberwolves,West,Midwest
1991,Dallas Mavericks,West,Midwest
1991,Denver Nuggets,West,Midwest
1991,Portland Trail Blazers,West,Pacific
1991,Los Angeles Lakers,West,Pacific
1991,Phoenix Suns,West,Pacific
1991,Golden State Warriors,West,Pacific
1991,Seattle SuperSonics,West,Pacific
1991,Los Angeles Clippers,West,Pacific
1991,Sacramento Kings,West,Pacific
1992,Boston Celtics,East,Atlantic
1992,New York Knicks,East,Atlantic
1992,New Jersey Nets,East,Atlantic
1992,Miami Heat,East,Atlantic
1992,Philadelphia 76ers,East,Atlantic
1992,Washington Wizards,East,Atlantic
1992,Orlando Magic,East,Atlantic
1992,Chicago Bulls,East,Central
1992,Cleveland Cavaliers,East,Central
1992,Detroit Pistons,East,Central
1992,Indiana Pacers,East,Central
1992,Atlanta Hawks,East,Central
1992,Milwaukee Bucks,East,Central
1992,Charlotte Hornets,East,Central
1992,Utah Jazz,West,Midwest
1992,San Antonio Spurs,West,Midwest
1992,Houston Rockets,West,Midwest
1992,Denver Nuggets,West,Midwest
1992,Dallas Mavericks,West,Midwest
1992,Minnesota Timberwolves,West,Midwest
1992,Portland Trail Blazers,West,Pacific
1992,Golden State Warriors,West,Pacific
1992,Phoenix Suns,West,Pacific
1992,Seattle SuperSonics,West,Pacific
1992,Los Angeles Clippers,West,Pacific
1992,Los Angeles Lakers,West,Pacific
1992,Sacramento Kings,West,Pacific
1993,New York Knicks,East,Atlantic
1993,Boston Celtics,East,Atlantic
1993,New Jersey Nets,East,Atlantic
1993,Orlando Magic,East,Atlantic
1993,Miami Heat,East,Atlantic
1993,Philadelphia 76ers,East,Atlantic
1993,Washington Wizards,East,Atlantic
1993,Chicago Bulls,East,Central
1993,Cleveland Cavaliers,East,Central
1993,Charlotte Hornets,East,Central
1993,Atlanta Hawks,East,Central
1993,Indiana Pacers,East,Central
1993,Detroit Pistons,East,Central
1993,Milwaukee Bucks,East,Central
1993,Houston Rockets,West,Midwest
1993,San Antonio Spurs,West,Midwest
1993,Utah Jazz,West,Midwest
1993,Denver Nuggets,West,Midwest
1993,Minnesota Timberwolves,West,Midwest
1993,Dallas Mavericks,West,Midwest
1993,Phoenix Suns,West,Pacific
1993,Seattle SuperSonics,West,Pacific
1993,Portland Trail Blazers,West,Pacific
1993,Los Angeles Clippers,West,Pacific
1993,Los Angeles Lakers,West,Pacific
1993,Golden State Warriors,West,Pacific
1993,Sacramento Kings,West,Pacific
1994,New York Knicks,East,Atlantic
1994,Orlando Magic,East,Atlantic
1994,New Jersey Nets,East,Atlantic
1994,Miami Heat,East,Atlantic
1994,Boston Celtics,East,Atlantic
1994,Philadelphia 76ers,East,Atlantic
1994,Washington Wizards,East,Atlantic
1994,Atlanta Hawks,East,Central
1994,Chicago Bulls,East,Central
1994,Indiana Pacers,East,Central
1994,Cleveland Cavaliers,East,Central
1994,Charlotte Hornets,East,Central
1994,Milwaukee Bucks,East,Central
1994,Detroit Pistons,East,Central
1994,Houston Rockets,West,Midwest
1994,San Antonio Spurs,West,Midwest
1994,Utah Jazz,West,Midwest
1994,Denver Nuggets,West,Midwest
1994,Minnesota Timberwolves,West,Midwest
1994,Dallas Mavericks,West,Midwest
1994,Seattle SuperSonics,West,Pacific
1994,Phoenix Suns,West,Pacific
1994,Golden State Warriors,West,Pacific
1994,Portland Trail Blazers,West,Pacific
1994,Los Angeles Lakers,West,Pacific
1994,Sacramento Kings,West,Pacific
1994,Los Angeles Clippers,West,Pacific
1995,Orlando Magic,East,Atlantic
1995,New York Knicks,East,Atlantic
1995,Boston Celtics,East,Atlantic
1995,Miami Heat,East,Atlantic
1995,New Jersey Nets,East,Atlantic
1995,Philadelphia 76ers,East,Atlantic
1995,Washington Wizards,East,Atlantic
1995,Indiana Pacers,East,Central
1995,Charlotte Hornets,East,Central
1995,Chicago Bulls,East,Central
1995,Cleveland Cavaliers,East,Central
1995,Atlanta Hawks,East,Central
1995,Milwaukee Bucks,East,Central
1995,Detroit Pistons,East,Central
1995,San Antonio Spurs,West,Midwest
1995,Utah Jazz,West,Midwest
1995,Houston Rockets,West,Midwest
1995,Denver Nuggets,West,Midwest
1995,Dallas Mavericks,West,Midwest
1995,Minnesota Timberwolves,West,Midwest
1995,Phoenix Suns,West,Pacific
1995,Seattle SuperSonics,West,Pacific
1995,Los Angeles Lakers,West,Pacific
1995,Portland Trail Blazers,West,Pacific
1995,Sacramento Kings,West,Pacific
1995,Golden State Warriors,West,Pacific
1995,Los Angeles Clippers,West,Pacific
1996,Orlando Magic,East,Atlantic
1996,New York Knicks,East,Atlantic
1996,Miami Heat,East,Atlantic
1996,Washington Wizards,East,Atlantic
1996,Boston Celtics,East,Atlantic
1996,New Jersey Nets,East,Atlantic
1996,Philadelphia 76ers,East,Atlantic
1996,Chicago Bulls,East,Central
1996,Indiana Pacers,East,Central
1996,Cleveland Cavaliers,East,Central
1996,Atlanta Hawks,East,Central
1996,Detroit Pistons,East,Central
1996,Charlotte Hornets,East,Central
1996,Milwaukee Bucks,East,Central
1996,Toronto Raptors,East,Central
1996,San Antonio Spurs,West,Midwest
1996,Utah Jazz,West,Midwest
1996,Houston Rockets,West,Midwest
1996,Denver Nuggets,West,Midwest
1996,Minnesota Timberwolves,West,Midwest
1996,Dallas Mavericks,West,Midwest
1996,Vancouver Grizzlies,West,Midwest
1996,Seattle SuperSonics,West,Pacific
1996,Los Angeles Lakers,West,Pacific
1996,Portland Trail Blazers,West,Pacific
1996,Phoenix Suns,West,Pacific
1996,Sacramento Kings,West,Pacific
1996,Golden State Warriors,West,Pacific
1996,Los Angeles Clippers,West,Pacific
1997,Miami Heat,East,Atlantic
1997,New York Knicks,East,Atlantic
1997,Orlando Magic,East,Atlantic
1997,Washington Wizards,East,Atlantic
1997,New Jersey Nets,East,Atlantic
1997,Philadelphia 76ers,East,Atlantic
1997,Boston Celtics,East,Atlantic
1997,Chicago Bulls,East,Central
1997,Atlanta Hawks,East,Central
1997,Detroit Pistons,East,Central
1997,Charlotte Hornets,East,Central
1997,Cleveland Cavaliers,East,Central
1997,Indiana Pacers,East,Central
1997,Milwaukee Bucks,East,Central
1997,Toronto Raptors,East,Central
1997,Utah Jazz,West,Midwest
1997,Houston Rockets,West,Midwest
1997,Minnesota Timberwolves,West,Midwest
1997,Dallas Mavericks,West,Midwest
1997,Denver Nuggets,West,Midwest
1997,San Antonio Spurs,West,Midwest
1997,Vancouver Grizzlies,West,Midwest
1997,Seattle SuperSonics,West,Pacific
1997,Los Angeles Lakers,West,Pacific
1997,Portland Trail Blazers,West,Pacific
1997,Phoenix Suns,West,Pacific
1997,Los Angeles Clippers,West,Pacific
1997,Sacramento Kings,West,Pacific
1997,Golden State Warriors,West,Pacific
1998,Miami Heat,East,Atlantic
1998,New York Knicks,East,Atlantic
1998,New Jersey Nets,East,Atlantic
1998,Washington Wizards,East,Atlantic
1998,Orlando Magic,East,Atlantic
1998,Boston Celtics,East,Atlantic
1998,Philadelphia 76ers,East,Atlantic
1998,Chicago Bulls,East,Central
1998,Indiana Pacers,East,Central
1998,Charlotte Hornets,East,Central
1998,Atlanta Hawks,East,Central
1998,Cleveland Cavaliers,East,Central
1998,Detroit Pistons,East,Central
1998,Milwaukee Bucks,East,Central
1998,Toronto Raptors,East,Central
1998,Utah Jazz,West,Midwest
1998,San Antonio Spurs,West,Midwest
1998,Minnesota Timberwolves,West,Midwest
1998,Houston Rockets,West,Midwest
1998,Dallas Mavericks,West,Midwest
1998,Vancouver Grizzlies,West,Midwest
1998,Denver Nuggets,West,Midwest
1998,Seattle SuperSonics,West,Pacific
1998,Los Angeles Lakers,West,Pacific
1998,Phoenix Suns,West,Pacific
1998,Portland Trail Blazers,West,Pacific
1998,Sacramento Kings,West,Pacific
1998,Golden State Warriors,West,Pacific
1998,Los Angeles Clippers,West,Pacific
1999,Miami Heat,East,Atlantic
1999,Orlando Magic,East,Atlantic
1999,Philadelphia 76ers,East,Atlantic
1999,New York Knicks,East,Atlantic
1999,Boston Celtics,East,Atlantic
1999,Washington Wizards,East,Atlantic
1999,New Jersey Nets,East,Atlantic
1999,Indiana Pacers,East,Central
1999,Atlanta Hawks,East,Central
1999,Detroit Pistons,East,Central
1999,Milwaukee Bucks,East,Central
1999,Charlotte Hornets,East,Central
1999,Toronto Raptors,East,Central
1999,Cleveland Cavaliers,East,Central
1999,Chicago Bulls,East,Central
1999,San Antonio Spurs,West,Midwest
1999,Utah Jazz,West,Midwest
1999,Houston Rockets,West,Midwest
1999,Minnesota Timberwolves,West,Midwest
1999,Dallas Mavericks,West,Midwest
1999,Denver Nuggets,West,Midwest
1999,Vancouver Grizzlies,West,Midwest
1999,Portland Trail Blazers,West,Pacific
1999,Los Angeles Lakers,West,Pacific
1999,Phoenix Suns,West,Pacific
1999,Sacramento Kings,West,Pacific
1999,Seattle SuperSonics,West,Pacific
1999,Golden State Warriors,West,Pacific
1999,Los Angeles Clippers,West,Pacific
2000,Miami Heat,East,Atlantic
2000,New York Knicks,East,Atlantic
2000,Philadelphia 76ers,East,Atlantic
2000,Orlando Magic,East,Atlantic
2000,Boston Celtics,East,Atlantic
2000,New Jersey Nets,East,Atlantic
2000,Washington Wizards,East,Atlantic
2000,Indiana Pacers,East,Central
2000,Charlotte Hornets,East,Central
2000,Toronto Raptors,East,Central
2000,Detroit Pistons,East,Central
2000,Milwaukee Bucks,East,Central
2000,Cleveland Cavaliers,East,Central
2000,Atlanta Hawks,East,Central
2000,Chicago Bulls,East,Central
2000,Utah Jazz,West,Midwest
2000,San Antonio Spurs,West,Midwest
2000,Minnesota Timberwolves,West,Midwest
2000,Dallas Mavericks,West,Midwest
2000,Denver Nuggets,West,Midwest
2000,Houston Rockets,West,Midwest
2000,Vancouver Grizzlies,West,Midwest
2000,Los Angeles Lakers,West,Pacific
2000,Portland Trail Blazers,West,Pacific
2000,Phoenix Suns,West,Pacific
2000,Seattle SuperSonics,West,Pacific
2000,Sacramento Kings,West,Pacific
2000,Golden State Warriors,West,Pacific
2000,Los Angeles Clippers,West,Pacific
2001,Philadelphia 76ers,East,Atlantic
2001,Miami Heat,East,Atlantic
2001,New York Knicks,East,Atlantic
2001,Orlando Magic,East,Atlantic
2001,Boston Celtics,East,Atlantic
2001,New Jersey Nets,East,Atlantic
2001,Washington Wizards,East,Atlantic
2001,Milwaukee Bucks,East,Central
2001,Toronto Raptors,East,Central
2001,Charlotte Hornets,East,Central
2001,Indiana Pacers,East,Central
2001,Detroit Pistons,East,Central
2001,Cleveland Cavaliers,East,Central
2001,Atlanta Hawks,East,Central
2001,Chicago Bulls,East,Central
2001,San Antonio Spurs,West,Midwest
2001,Utah Jazz,West,Midwest
2001,Dallas Mavericks,West,Midwest
2001,Minnesota Timberwolves,West,Midwest
2001,Houston Rockets,West,Midwest
2001,Denver Nuggets,West,Midwest
2001,Vancouver Grizzlies,West,Midwest
2001,Los Angeles Lakers,West,Pacific
2001,Sacramento Kings,West,Pacific
2001,Phoenix Suns,West,Pacific
2001,Portland Trail Blazers,West,Pacific
2001,Seattle SuperSonics,West,Pacific
2001,Los Angeles Clippers,West,Pacific
2001,Golden State Warriors,West,Pacific
2002,New Jersey Nets,East,Atlantic
2002,Boston Celtics,East,Atlantic
2002,Orlando Magic,East,Atlantic
2002,Philadelphia 76ers,East,Atlantic
2002,Washington Wizards,East,Atlantic
2002,Miami Heat,East,Atlantic
2002,New York Knicks,East,Atlantic
2002,Detroit Pistons,East,Central
2002,Charlotte Hornets,East,Central
2002,Toronto Raptors,East,Central
2002,Indiana Pacers,East,Central
2002,Milwaukee Bucks,East,Central
2002,Atlanta Hawks,East,Central
2002,Cleveland Cavaliers,East,Central
2002,Chicago Bulls,East,Central
2002,San Antonio Spurs,West,Midwest
2002,Dallas Mavericks,West,Midwest
2002,Minnesota Timberwolves,West,Midwest
2002,Utah Jazz,West,Midwest
2002,Houston Rockets,West,Midwest
2002,Denver Nuggets,West,Midwest
2002,Memphis Grizzlies,West,Midwest
2002,Sacramento Kings,West,Pacific
2002,Los Angeles Lakers,West,Pacific
2002,Portland Trail Blazers,West,Pacific
2002,Seattle SuperSonics,West,Pacific
2002,Los Angeles Clippers,West,Pacific
2002,Phoenix Suns,West,Pacific
2002,Golden State Warriors,West,Pacific
2003,New Jersey Nets,East,Atlantic
2003,Philadelphia 76ers,East,Atlantic
2003,Boston Celtics,East,Atlantic
2003,Orlando Magic,East,Atlantic
2003,Washington Wizards,East,Atlantic
2003,New York Knicks,East,Atlantic
2003,Miami Heat,East,Atlantic
2003,Detroit Pistons,East,Central
2003,Indiana Pacers,East,Central
2003,New Orleans Pelicans,East,Central
2003,Milwaukee Bucks,East,Central
2003,Atlanta Hawks,East,Central
2003,Chicago Bulls,East,Central
2003,Toronto Raptors,East,Central
2003,Cleveland Cavaliers,East,Central
2003,San Antonio Spurs,West,Midwest
2003,Dallas Mavericks,West,Midwest
2003,Minnesota Timberwolves,West,Midwest
2003,Utah Jazz,West,Midwest
2003,Houston Rockets,West,Midwest
2003,Memphis Grizzlies,West,Midwest
2003,Denver Nuggets,West,Midwest
2003,Sacramento Kings,West,Pacific
2003,Los Angeles Lakers,West,Pacific
2003,Portland Trail Blazers,West,Pacific
2003,Phoenix Suns,West,Pacific
2003,Seattle SuperSonics,West,Pacific
2003,Golden State Warriors,West,Pacific
2003,Los Angeles Clippers,West,Pacific
2004,New Jersey Nets,East,Atlantic
2004,Miami Heat,East,Atlantic
2004,New York Knicks,East,Atlantic
2004,Boston Celtics,East,Atlantic
2004,Philadelphia 76ers,East,Atlantic
2004,Washington Wizards,East,Atlantic
2004,Orlando Magic,East,Atlantic
2004,Indiana Pacers,East,Central
2004,Detroit Pistons,East,Central
2004,New Orleans Pelicans,East,Central
2004,Milwaukee Bucks,East,Central
2004,Cleveland Cavaliers,East,Central
2004,Toronto Raptors,East,Central
2004,Atlanta Hawks,East,Central
2004,Chicago Bulls,East,Central
2004,Minnesota Timberwolves,West,Midwest
2004,San Antonio Spurs,West,Midwest
2004,Dallas Mavericks,West,Midwest
2004,Memphis Grizzlies,West,Midwest
2004,Houston Rockets,West,Midwest
2004,Denver Nuggets,West,Midwest
2004,Utah Jazz,West,Midwest
2004,Los Angeles Lakers,West,Pacific
2004,Sacramento Kings,West,Pacific
2004,Portland Trail Blazers,West,Pacific
2004,Golden State Warriors,West,Pacific
2004,Seattle SuperSonics,West,Pacific
2004,Phoenix Suns,West,Pacific
2004,Los Angeles Clippers,West,Pacific
2005,Boston Celtics,East,Atlantic
2005,Philadelphia 76ers,East,Atlantic
2005,New Jersey Nets,East,Atlantic
2005,Toronto Raptors,East,Atlantic
2005,New York Knicks,East,Atlantic
2005,Detroit Pistons,East,Central
2005,Chicago Bulls,East,Central
2005,Indiana Pacers,East,Central
