season,team,conference,division
1977,Philadelphia 76ers,East,Atlantic
1977,Boston Celtics,East,Atlantic
1977,New York Knicks,East,Atlantic
1977,Buffalo Braves,East,Atlantic
1977,New York Nets,East,Atlantic
1977,Houston Rockets,East,Central
1977,Washington Wizards,East,Central
1977,San Antonio Spurs,East,Central
1977,Cleveland Cavaliers,East,Central
1977,New Orleans Jazz,East,Central
1977,Atlanta Hawks,East,Central
1977,Denver Nuggets,West,Midwest
1977,Detroit Pistons,West,Midwest
1977,Chicago Bulls,West,Midwest
1977,Kansas City Kings,West,Midwest
1977,Indiana Pacers,West,Midwest
1977,Milwaukee Bucks,West,Midwest
1977,Los Angeles Lakers,West,Pacific
1977,Portland Trail Blazers,West,Pacific
1977,Golden State Warriors,West,Pacific
1977,Seattle SuperSonics,West,Pacific
1977,Phoenix Suns,West,Pacific
1978,Philadelphia 76ers,East,Atlantic
1978,New York Knicks,East,Atlantic
1978,Boston Celtics,East,Atlantic
1978,Buffalo Braves,East,Atlantic
1978,New Jersey Nets,East,Atlantic
1978,San Antonio Spurs,East,Central
1978,Washington Wizards,East,Central
1978,Cleveland Cavaliers,East,Central
1978,Atlanta Hawks,East,Central
1978,New Orleans Jazz,East,Central
1978,Houston Rockets,East,Central
1978,Denver Nuggets,West,Midwest
1978,Milwaukee Bucks,West,Midwest
1978,Chicago Bulls,West,Midwest
1978,Detroit Pistons,West,Midwest
1978,Kansas City Kings,West,Midwest
1978,Indiana Pacers,West,Midwest
1978,Portland Trail Blazers,West,Pacific
1978,Phoenix Suns,West,Pacific
1978,Seattle SuperSonics,West,Pacific
1978,Los Angeles Lakers,West,Pacific
1978,Golden State Warriors,West,Pacific
1979,Washington Wizards,East,Atlantic
1979,Philadelphia 76ers,East,Atlantic
1979,New Jersey Nets,East,Atlantic
1979,New York Knicks,East,Atlantic
1979,Boston Celtics,East,Atlantic
1979,San Antonio Spurs,East,Central
1979,Houston Rockets,East,Central
1979,Atlanta Hawks,East,Central
1979,Detroit Pistons,East,Central
1979,Cleveland Cavaliers,East,Central
1979,New Orleans Jazz,East,Central
1979,Kansas City Kings,West,Midwest
1979,Denver Nuggets,West,Midwest
1979,Milwaukee Bucks,West,Midwest
1979,Indiana Pacers,West,Midwest
1979,Chicago Bulls,West,Midwest
1979,Seattle SuperSonics,West,Pacific
1979,Phoenix Suns,West,Pacific
1979,Los Angeles Lakers,West,Pacific
1979,Portland Trail Blazers,West,Pacific
1979,San Diego Clippers,West,Pacific
1979,Golden State Warriors,West,Pacific
1980,Boston Celtics,East,Atlantic
1980,Philadelphia 76ers,East,Atlantic
1980,Washington Wizards,East,Atlantic
1980,New York Knicks,East,Atlantic
1980,New Jersey Nets,East,Atlantic
1980,Atlanta Hawks,East,Central
1980,Houston Rockets,East,Central
1980,San Antonio Spurs,East,Central
1980,Indiana Pacers,East,Central
1980,Cleveland Cavaliers,East,Central
1980,Detroit Pistons,East,Central
1980,Milwaukee Bucks,West,Midwest
1980,Kansas City Kings,West,Midwest
1980,Denver Nuggets,West,Midwest
1980,Chicago Bulls,West,Midwest
1980,Utah Jazz,West,Midwest
1980,Los Angeles Lakers,West,Pacific
1980,Seattle SuperSonics,West,Pacific
1980,Phoenix Suns,West,Pacific
1980,Portland Trail Blazers,West,Pacific
1980,San Diego Clippers,West,Pacific
1980,Golden State Warriors,West,Pacific
1981,Boston Celtics,East,Atlantic
1981,Philadelphia 76ers,East,Atlantic
1981,New York Knicks,East,Atlantic
1981,Washington Wizards,East,Atlantic
1981,New Jersey Nets,East,Atlantic
1981,Milwaukee Bucks,East,Central
1981,Chicago Bulls,East,Central
1981,Indiana Pacers,East,Central
1981,Atlanta Hawks,East,Central
1981,Cleveland Cavaliers,East,Central
1981,Detroit Pistons,East,Central
1981,San Antonio Spurs,West,Midwest
1981,Kansas City Kings,West,Midwest
1981,Houston Rockets,West,Midwest
1981,Denver Nuggets,West,Midwest
1981,Utah Jazz,West,Midwest
1981,Dallas Mavericks,West,Midwest
1981,Phoenix Suns,West,Pacific
1981,Los Angeles Lakers,West,Pacific
1981,Portland Trail Blazers,West,Pacific
1981,Golden State Warriors,West,Pacific
1981,San Diego Clippers,West,Pacific
1981,Seattle SuperSonics,West,Pacific
1982,Boston Celtics,East,Atlantic
1982,Philadelphia 76ers,East,Atlantic
1982,New Jersey Nets,East,Atlantic
1982,Washington Wizards,East,Atlantic
1982,New York Knicks,East,Atlantic
1982,Milwaukee Bucks,East,Central
1982,Atlanta Hawks,East,Central
1982,Detroit Pistons,East,Central
1982,Indiana Pacers,East,Central
1982,Chicago Bulls,East,Central
1982,Cleveland Cavaliers,East,Central
1982,San Antonio Spurs,West,Midwest
1982,Denver Nuggets,West,Midwest
1982,Houston Rockets,West,Midwest
1982,Kansas City Kings,West,Midwest
1982,Dallas Mavericks,West,Midwest
1982,Utah Jazz,West,Midwest
1982,Los Angeles Lakers,West,Pacific
1982,Seattle SuperSonics,West,Pacific
1982,Phoenix Suns,West,Pacific
1982,Golden State Warriors,West,Pacific
1982,Portland Trail Blazers,West,Pacific
1982,San Diego Clippers,West,Pacific
1983,Philadelphia 76ers,East,Atlantic
1983,Boston Celtics,East,Atlantic
1983,New Jersey Nets,East,Atlantic
1983,New York Knicks,East,Atlantic
1983,Washington Wizards,East,Atlantic
1983,Milwaukee Bucks,East,Central
1983,Atlanta Hawks,East,Central
